date,time,frequency,rs,dt
211005,211430,14.074,-6,-0.3
210809,190730,14.074,0,0.2
210714,001430,14.074,4,0.1
210610,210530,14.074,-11,0.2
210607,155730,14.074,3,-0.6
210910,211915,14.074,1,-0.4
210607,170215,14.074,-15,0.4
210713,215700,14.074,-9,0.3
211005,231945,14.074,1,-0.2
210831,204545,14.074,-12,0.0
210628,170030,14.074,-15,0.3
211005,211245,14.074,4,-0.2
210722,223200,14.074,-11,-2.0
210713,194800,14.074,25,-1.1
210611,175430,14.074,-8,1.3
210519,173330,14.074,-2,0.1
210519,181945,14.074,-7,-0.2
210628,171900,14.074,-10,0.0
210716,220345,14.074,12,0.2
210809,192215,14.074,-11,0.2
210607,163130,14.074,6,0.6
210604,211730,14.074,-10,0.0
210615,214800,14.074,4,0.1
210628,181230,14.074,2,0.8
210422,195115,14.074,-17,0.5
210831,202845,14.074,-6,0.0
210610,211030,14.074,2,0.4
210810,193930,14.074,-8,0.5
210422,212330,14.074,-12,0.8
210831,214700,14.074,-7,0.3
210607,165030,14.074,7,0.2
210610,214330,14.074,-4,1.4
210809,202545,14.074,10,0.1
210716,215430,14.074,-17,0.5
210908,173330,14.074,-5,-0.2
210607,170415,14.074,-10,0.2
210810,192100,14.074,-13,-0.8
210819,195315,14.074,-21,0.6
210722,225630,14.074,-6,0.1
210628,214115,14.074,8,0.2
210628,203130,14.074,-12,0.1
210809,214230,14.074,-13,0.3
210610,192600,14.074,0,0.6
210511,203830,14.074,-15,0.2
210713,232515,14.074,-7,0.2
210907,204100,14.074,-9,0.2
210810,191415,14.074,-10,0.1
210602,230445,14.074,-12,0.3
211005,231745,14.074,-9,0.3
210908,182915,14.074,-2,-1.5
210901,215530,14.074,11,0.0
210519,183815,14.074,-4,-1.3
210819,181900,14.074,-22,0.4
210422,224430,14.074,-6,0.2
210423,171545,14.074,-13,0.1
210827,202400,14.074,-5,0.1
210908,171415,14.074,-8,0.3
210422,221330,14.074,-8,1.0
210819,211730,14.074,-24,0.2
210422,190330,14.074,6,0.2
210908,194515,14.074,-13,0.4
210607,160745,14.074,2,-0.2
210713,220630,14.074,-7,0.3
210505,181115,14.074,-1,-0.2
210722,221500,14.074,-8,-0.2
210908,180200,14.074,-18,1.2
210831,205245,14.074,8,0.1
210819,210515,14.074,-10,0.1
210615,213045,14.074,8,-0.2
210611,190600,14.074,-21,0.3
210628,173630,14.074,-15,0.1
210611,175530,14.074,1,0.0
210610,200200,14.074,-15,-0.9
210713,202400,14.074,-8,0.0
210628,212645,14.074,2,0.2
210615,231930,14.074,-7,0.2
210607,155830,14.074,-1,-0.7
210602,235215,14.074,0,0.3
