date,time,frequency,rs,dt
210818,191515,18.100,-14,0.5
210818,191515,18.100,-15,0.0
210818,191530,18.100,-16,0.1
210818,191545,18.100,-18,-0.2
210818,191545,18.100,-16,0.0
210818,191545,18.100,-17,0.5
210818,191600,18.100,-17,0.1
210818,191615,18.100,-14,0.0
210818,191615,18.100,-16,-0.2
210818,191615,18.100,-19,0.5
210818,191630,18.100,-19,0.1
210818,191630,18.100,-20,0.1
210818,191645,18.100,-14,0.5
210818,191645,18.100,-16,0.1
210818,191645,18.100,-15,0.0
210818,191700,18.100,-20,0.1
210818,191715,18.100,-17,0.0
210818,191715,18.100,-20,-0.2
210818,191730,18.100,-20,0.1
210818,191745,18.100,-17,0.5
210818,191800,18.100,-15,0.1
210818,191815,18.100,-15,0.0
210818,191830,18.100,-18,0.1
210818,191845,18.100,-20,0.5
210818,191845,18.100,-20,0.0
210818,191900,18.100,-20,1.0
210818,191915,18.100,-15,0.6
210818,191915,18.100,-18,0.0
210818,191930,18.100,-17,0.1
210818,191930,18.100,-19,0.1
210818,191945,18.100,-12,0.0
210818,191945,18.100,-21,0.1
210818,192000,18.100,-18,1.0
210818,192015,18.100,-11,0.1
210818,192015,18.100,-15,0.6
210818,192015,18.100,-19,0.0
210818,192015,18.100,-20,0.0
210818,192015,18.100,-15,0.1
210818,192015,18.100,-19,0.5
210818,192045,18.100,-9,0.2
210818,192045,18.100,-16,0.1
210818,192115,18.100,-11,0.1
210818,192115,18.100,-15,0.2
210818,192115,18.100,-18,0.0
210818,192145,18.100,-13,0.1
210818,192145,18.100,-14,0.1
210818,192145,18.100,-19,0.5
210818,192215,18.100,-6,0.2
210818,192215,18.100,-17,0.1
210818,192230,18.100,-20,0.1
210818,192245,18.100,-13,0.2
210818,192245,18.100,-18,0.1
210818,192245,18.100,-19,0.5
210818,192315,18.100,-19,0.5
210818,192330,18.100,-17,0.1
210818,192345,18.100,-17,0.1
210818,192345,18.100,-17,0.5
210818,192415,18.100,-11,0.2
210818,192415,18.100,-19,0.5
210818,192430,18.100,-18,0.1
210818,192445,18.100,-5,0.2
210818,192500,18.100,-17,0.1
210818,192515,18.100,-7,0.2
210818,192515,18.100,-13,0.5
210818,192545,18.100,-9,0.5
210818,192600,18.100,-14,0.3
210818,192615,18.100,-9,0.5
210818,192615,18.100,-16,-0.2
210818,192630,18.100,-17,0.1
210818,192645,18.100,-13,0.5
210818,192645,18.100,-17,-0.2
210818,192700,18.100,-18,0.3
210818,192715,18.100,-14,0.5
210818,192730,18.100,-15,0.1
210818,192730,18.100,-20,0.2
210818,192745,18.100,-14,0.5
210818,192745,18.100,-17,0.1
210818,192800,18.100,0,0.2
210818,192800,18.100,-7,0.2
210818,192800,18.100,-19,0.2
210818,192815,18.100,-18,0.1
210818,192815,18.100,-19,0.5
210818,192815,18.100,-21,-0.2
210818,192830,18.100,2,0.2
210818,192830,18.100,-12,0.2
210818,192830,18.100,-21,0.2
210818,192845,18.100,-9,0.1
210818,192845,18.100,-18,0.5
210818,192845,18.100,-17,-0.2
210818,192900,18.100,-6,0.1
210818,192900,18.100,5,0.2
210818,192915,18.100,-8,0.1
210818,192915,18.100,-17,0.5
210818,192930,18.100,0,0.2
210818,192930,18.100,-12,0.2
210818,192945,18.100,-7,0.1
210818,192945,18.100,-16,0.5
210818,193000,18.100,-9,0.1
210818,193000,18.100,-5,0.2
210818,193000,18.100,-15,0.2
210818,193000,18.100,-20,0.2
210818,193015,18.100,-13,-0.2
210818,193045,18.100,-10,-0.2
210818,193115,18.100,-20,0.5
210818,193130,18.100,-18,-0.3
210818,193130,18.100,-20,0.1
210818,193130,18.100,-20,0.3
210818,193200,18.100,-16,-0.2
210818,193230,18.100,-15,-0.3
210818,193300,18.100,-20,0.2
210818,193330,18.100,2,0.2
210818,193330,18.100,-18,0.2
210818,193345,18.100,-6,0.2
210818,193345,18.100,-19,0.1
210818,193415,18.100,-16,0.1
210818,193415,18.100,-19,0.1
210818,193415,18.100,-15,0.1
210818,193415,18.100,-20,0.5
210818,193445,18.100,-17,0.1
210818,193445,18.100,-14,0.5
210818,193515,18.100,4,0.2
210818,193515,18.100,-10,0.1
210818,193515,18.100,-13,0.5
210818,193515,18.100,-9,-0.2
210818,193515,18.100,-17,0.1
210818,193515,18.100,-18,0.1
210818,193545,18.100,1,0.2
210818,193545,18.100,-13,0.3
210818,193545,18.100,-14,0.6
210818,193545,18.100,-14,-0.2
210818,193545,18.100,-18,0.2
210818,193615,18.100,-2,0.4
210818,193615,18.100,-9,0.3
210818,193615,18.100,-13,0.7
210818,193615,18.100,-16,0.4
210818,193615,18.100,-18,0.1
210818,193645,18.100,-18,0.3
210818,193715,18.100,4,0.4
210818,193715,18.100,-17,0.4
210818,193745,18.100,1,0.4
210818,193815,18.100,4,0.4
210818,193815,18.100,-17,0.3
210818,193815,18.100,-19,0.4
210818,193830,18.100,-10,0.4
210818,193830,18.100,-19,0.4
210818,193830,18.100,-17,0.6
210818,193845,18.100,-10,0.3
210818,193845,18.100,-19,0.4
210818,193845,18.100,-17,0.4
210818,193915,18.100,-7,0.4
210818,193915,18.100,-17,0.3
210818,193915,18.100,-19,0.4
210818,194000,18.100,-20,0.4
210818,194015,18.100,-19,0.5
210818,194030,18.100,-9,0.4
210818,194030,18.100,-12,0.4
210818,194030,18.100,-20,0.5
210818,194045,18.100,-12,0.4
210818,194045,18.100,-18,0.4
210818,194115,18.100,-11,0.3
210818,194115,18.100,-18,1.8
210818,194115,18.100,-19,0.3
210818,194115,18.100,-21,0.4
210818,194115,18.100,-18,0.4
210818,194145,18.100,-14,0.4
210818,194200,18.100,-10,0.4
210818,194200,18.100,-8,0.4
210818,194200,18.100,-18,0.4
210818,194200,18.100,-17,0.5
210818,194230,18.100,-7,0.4
210818,194230,18.100,1,0.4
210818,194230,18.100,-9,0.4
210818,194230,18.100,-16,0.4
210818,194230,18.100,-20,0.4
210818,194300,18.100,-5,0.4
210818,194300,18.100,-8,0.4
210818,194300,18.100,-10,0.4
210818,194300,18.100,-19,0.4
210818,194300,18.100,-21,1.4
210818,194330,18.100,-2,0.4
210818,194330,18.100,-9,0.4
210818,194330,18.100,-20,0.3
210818,194345,18.100,-15,-0.2
210818,194345,18.100,-22,0.8
210818,194400,18.100,-10,0.4
210818,194400,18.100,1,0.4
210818,194400,18.100,-19,0.3
210818,194415,18.100,-20,0.4
210818,194430,18.100,-11,0.4
210818,194430,18.100,-16,0.4
210818,194500,18.100,-10,0.4
210818,194500,18.100,-14,0.4
210818,194515,18.100,-18,1.1
210818,194515,18.100,-20,0.5
210818,194530,18.100,-6,0.4
210818,194530,18.100,-21,0.3
210818,194545,18.100,-18,0.3
210818,194545,18.100,-20,0.5
210818,194615,18.100,-16,0.3
210818,194645,18.100,-15,0.5
210818,194715,18.100,-16,0.3
210818,194715,18.100,-10,0.4
210818,194715,18.100,-19,0.5
210818,194715,18.100,-18,1.1
210818,194715,18.100,-18,0.1
210818,194730,18.100,-9,1.1
210818,194800,18.100,-2,1.1
210818,194800,18.100,-19,0.3
210818,194900,18.100,-18,-1.3
210818,194900,18.100,-16,-1.1
210818,194900,18.100,-17,-1.1
210818,194930,18.100,-4,-0.4
210818,194930,18.100,-7,-1.1
210818,194930,18.100,-19,-1.1
210818,195000,18.100,-13,-0.4
210818,195000,18.100,-14,-1.1
210818,195000,18.100,-15,-1.1
210818,195000,18.100,-17,-1.1
210818,195000,18.100,-19,-1.3
210818,195015,18.100,-1,-1.1
210818,195015,18.100,-16,-1.0
210818,195030,18.100,-13,-1.1
210818,195030,18.100,-18,-0.1
210818,195030,18.100,-18,-1.1
