date,time,freq,rs,dt,lat,long
210913,150030,7.074,-12,0.4,-29.5,27
210902,151600,7.074,3,0.3,-8.5,115
211006,151215,7.074,-14,0.2,-29.5,31
210907,144615,7.074,12,-0.4,35.5,-107
210913,151715,7.074,-7,0.2,-7.5,111
210908,152745,7.074,-6,-0.8,47.5,-123
211006,154415,7.074,-11,0.1,0,0
210824,155145,7.074,-14,0.5,61.5,-147
210819,151630,7.074,-15,0.2,-6.5,107
210910,152115,7.074,-15,-0.2,-34.5,139
210908,143145,7.074,-9,0.1,35.5,133
211006,152200,7.074,16,0.2,46.5,-123
210827,161445,7.074,-18,0,0,0
210908,142830,7.074,11,-0.1,-0.5,117
210907,144845,7.074,3,-0.4,33.5,-117
210907,143415,7.074,-5,-0.3,-3.5,121
210910,152945,7.074,-24,-0.1,43.5,-89
210910,2400,7.074,-9,0.6,0,0
210823,230945,7.074,-13,0.2,24.5,-81
210813,3415,7.074,-21,1.3,0,0
210907,143330,7.074,11,-0.3,0,0
210910,153230,7.074,12,0.2,48.5,-123
210824,144100,7.074,10,0.1,35.5,129
211005,160730,7.074,-12,-0.7,83.5,175
210913,151515,7.074,-19,0.2,83.5,175
210819,152115,7.074,2,0.1,32.5,-111
210825,153745,7.074,-13,0.2,0,0
210824,144030,7.074,-2,0.1,0,0
210824,151930,7.074,-9,0.6,0,0
210913,155145,7.074,16,-0.8,38.5,-121
210824,150345,7.074,12,2.4,37.5,-121
210824,151130,7.074,-18,0.5,46.5,125
210824,144000,7.074,-18,0.1,0,0
210910,152330,7.074,-19,0,0,0
210824,155015,7.074,-17,0.5,37.5,139
210907,150130,7.074,-17,0.2,0,0
211005,162315,7.074,-2,-0.7,0,0
210913,235315,7.074,-2,-0.1,42.5,-77
210823,230245,7.074,-16,0.4,83.5,175
210823,230515,7.074,-15,0.1,35.5,-79
210908,142930,7.074,-5,-0.1,35.5,137
211006,153200,7.074,-23,0,0,0
210907,143745,7.074,8,-0.6,47.5,-123
210819,150330,7.074,16,1.1,38.5,-123
211005,164630,7.074,-17,-0.1,0,0
210824,145200,7.074,-5,0.2,0.5,111
210819,163700,7.074,-14,0,0,0
210825,154015,7.074,-8,0.3,-6.5,107
210913,155000,7.074,-14,0.1,-6.5,113
210907,143215,7.074,4,-0.3,0,0
210908,151330,7.074,-9,-0.1,-6.5,107
210819,163515,7.074,-16,-0.3,0.5,121
210611,225230,7.074,-18,0.6,0,0
211006,150215,7.074,-3,0,0,0
210910,153545,7.074,8,-0.2,38.5,139
211006,153545,7.074,8,0,0,0
210907,145915,7.074,-4,-0.4,0,0
210902,155245,7.074,-7,0.4,83.5,175
210823,232300,7.074,6,0.9,30.5,-97
210824,150400,7.074,-7,-0.3,0,0
211006,155945,7.074,-6,0.4,0,0
210909,151800,7.074,-20,0.1,-34.5,139
210913,235415,7.074,1,0.1,39.5,-75
210910,152330,7.074,-13,0,0,0
210902,155300,7.074,-13,0.4,83.5,175
210823,232230,7.074,11,0.1,83.5,175
210608,225515,7.074,-14,0.3,40.5,-77
210902,151715,7.074,-17,0.3,-31.5,115
211006,150800,7.074,-12,1.1,83.5,175
210908,144045,7.074,1,-0.1,0,0
211006,154230,7.074,5,0.1,37.5,141
210824,151100,7.074,-4,-1.5,30.5,121
210528,0,7.074,11,0.1,0,0
211006,160245,7.074,-24,0.1,0,0
210819,151145,7.074,-16,1.2,35.5,137
210913,145330,7.074,-23,0.1,0,0
210910,152415,7.074,-12,0,0,0
210909,153430,7.074,-8,0.3,43.5,141
210824,160345,7.074,-14,-1.6,30.5,121
210831,170045,7.074,12,0.3,32.5,-111
211006,160930,7.074,7,-0.1,0,0
210824,150045,7.074,7,0.1,39.5,-105
211006,154330,7.074,5,0.1,0,0
211006,151100,7.074,-16,0.8,0,0
210914,445,7.074,-13,0,0,0
210827,155100,7.074,-9,0.7,0,0
210913,235145,7.074,-2,-0.1,41.5,-81
210824,150845,7.074,-21,0.6,0,0
210819,163115,7.074,-12,0.4,0,0
210907,151700,7.074,-17,0.6,33.5,-119
210824,145045,7.074,-23,0.2,34.5,135
210913,152430,7.074,-5,0,0,0
211006,154300,7.074,-8,-0.3,33.5,131
210910,153730,7.074,-15,0.4,0,0
210910,1815,7.074,3,1,0,0
210824,144000,7.074,14,1.2,38.5,-123
210907,143930,7.074,18,-0.4,83.5,175
210907,150130,7.074,-13,0,0,0
210913,153200,7.074,-6,-0.1,0.5,123
210913,150430,7.074,0,0,0,0
210824,155415,7.074,15,0.5,39.5,-119
210518,233715,7.074,-15,0.6,83.5,175
210810,225900,7.074,-18,0.4,42.5,-89
210823,232100,7.074,-16,0.7,0,0
210824,145630,7.074,-20,0.2,-6.5,107
211006,152130,7.074,9,0.1,0,0
210527,235545,7.074,-1,0.2,42.5,-97
210907,150700,7.074,-1,0,0,0
210908,151630,7.074,4,-1.1,38.5,-59
210908,143300,7.074,1,0,0,0
210819,160530,7.074,-2,0.4,0,0
210909,150045,7.074,12,0,0,0
210824,151130,7.074,0,0.6,43.5,-117
210913,152715,7.074,-11,0,0,0
210908,151700,7.074,-3,-0.4,0,0
210908,151530,7.074,-17,0.5,0,0
210827,160145,7.074,-9,0,0,0
210907,143000,7.074,-17,-0.4,83.5,175
210827,155730,7.074,0,0,0,0
210908,144200,7.074,1,-0.4,-31.5,117
211006,152415,7.074,-6,0,0,0
211006,153615,7.074,-16,0,0,0
210910,2815,7.074,4,1,0,0
210909,145100,7.074,-7,0.2,37.5,127
210813,3500,7.074,-3,1.2,0,0
211006,155000,7.074,12,0.2,46.5,-123
210902,145815,7.074,-5,0.3,0,0
210819,160315,7.074,-16,0.7,0,0
210907,151145,7.074,21,0.5,83.5,175
210825,154615,7.074,-6,0.1,0,0
210907,152330,7.074,-17,0,0,0
210518,234115,7.074,-6,-0.1,33.5,-85
211006,150700,7.074,12,0.1,0,0
210824,144545,7.074,-12,0.4,36.5,-91
210827,155600,7.074,-7,0.4,53.5,-167
210913,152245,7.074,-6,-0.1,0,0
210902,151145,7.074,-5,0.1,0,0
211006,145330,7.074,-1,0.3,0,0
210827,160100,7.074,-2,2,0,0
210825,155715,7.074,-17,1.6,27.5,121
210513,2100,7.074,-19,0.5,0,0
210908,151830,7.074,5,-0.3,33.5,-117
210819,152115,7.074,-6,-0.3,0,0
210908,152200,7.074,7,-1.4,37.5,-121
210824,144415,7.074,6,0.1,39.5,141
211006,155200,7.074,-2,-0.1,1.5,101
210914,345,7.074,-13,0,0,0
210913,235530,7.074,-19,0.2,40.5,-75
210518,232930,7.074,-11,0.8,0,0
210824,145600,7.074,-7,0.1,83.5,175
210819,145515,7.074,0,1.8,32.5,-111
210909,151315,7.074,-5,0,0,0
210518,233745,7.074,-3,-0.4,25.5,-81
210913,151545,7.074,-4,0.1,0,0
210827,154730,7.074,-13,0.2,0,0
210820,2545,7.074,-8,0.1,0,0
210909,152300,7.074,1,-0.1,-32.5,151
210910,2030,7.074,7,1,0,0
210907,143545,7.074,-6,-0.9,37.5,127
210824,154445,7.074,8,0.5,0,0
210623,233245,7.074,-21,0.6,0,0
210902,145615,7.074,-19,0.2,0,0
210827,155245,7.074,-10,0,0,0
211006,161300,7.074,2,-0.1,49.5,-123
210827,160215,7.074,-15,0,0,0
210827,154015,7.074,-18,0,0,0
210910,2130,7.074,-8,1,0,0
210913,144930,7.074,-12,0.1,0,0
210820,2445,7.074,-10,0,0,0
210908,142530,7.074,10,0.1,-17.5,177
210909,150800,7.074,-5,-0.1,0,0
210910,2530,7.074,-17,1.3,0,0
210528,115,7.074,-8,0.1,0,0
210908,151200,7.074,-7,-0.4,-2.5,107
210824,145130,7.074,-16,0.3,-2.5,111
210819,163145,7.074,-12,0.3,0,0
210910,2230,7.074,-10,1,0,0
210824,153015,7.074,-11,1.6,32.5,-97
210908,151030,7.074,-2,-0.8,-6.5,107
210825,155045,7.074,-6,0.2,0,0
210426,235300,10.136,-6,0.5,10.5,-67
210426,234500,10.136,-3,-1.1,41.5,-97
210426,234745,10.136,-7,0.1,35.5,-85
210426,234830,10.136,-12,0.2,40.5,-77
210426,234930,10.136,-22,-0.1,44.5,-67
210426,234445,10.136,-19,0.1,40.5,-83
210426,234800,10.136,-13,0.2,83.5,175
210426,235030,10.136,-20,0.1,0,0
210426,235800,10.136,-3,0,0,0
210426,235500,10.136,-3,0.1,35.5,-83
210426,235730,10.136,-7,0.5,10.5,-67
210426,235500,10.136,-2,0.2,36.5,-77
210426,235900,10.136,-13,0.1,0,0
210426,234600,10.136,1,0.4,0,0
210426,235630,10.136,-1,0.6,38.5,-77
210426,235230,10.136,1,2.3,34.5,-111
210426,235430,10.136,-5,0.6,33.5,-79
210426,234600,10.136,-7,0.1,0,0
210426,234500,10.136,-5,0.1,0,0
210426,235430,10.136,-6,0.3,0,0
210426,235000,10.136,-2,0,0,0
210902,212330,10.136,-5,0.1,43.5,-91
210426,235900,10.136,6,0.1,0,0
210426,235145,10.136,-16,0.1,33.5,-117
210426,234930,10.136,-9,-0.6,0,0
210426,235000,10.136,12,0.1,0,0
210426,234745,10.136,0,0.2,40.5,-75
